terminated,mgrChurn,gender,minority,flsaType,seniority,age
0,0,0,1,0,1.70,36.4
0,0,0,1,0,0.05,54.7
0,0,0,1,0,0.97,34.4
0,0,0,1,0,4.35,55.8
0,0,0,1,0,4.00,33.7
0,0,0,1,0,2.85,33.3
0,0,0,1,0,5.02,38.9
0,0,0,1,0,1.05,45.3
0,0,0,1,0,1.13,30.3
0,1,0,1,0,1.30,32.5
0,0,0,1,0,1.51,45.8
0,0,0,1,0,1.38,31.2
0,0,0,1,0,2.87,38.5
0,0,0,1,0,2.81,60.3
0,1,0,1,0,3.50,50.0
0,1,0,1,0,1.01,47.8
0,0,0,1,0,9.50,45.2
0,0,0,1,0,9.41,60.2
0,0,0,1,0,9.26,49.0
0,0,0,1,0,1.13,38.3
0,0,0,1,0,0.13,58.2
0,0,0,1,0,0.13,52.6
1,1,0,1,0,0.42,58.5
1,0,0,1,0,0.09,46.8
1,0,0,1,0,5.13,41.3
1,0,0,1,0,0.15,46.6
1,0,0,1,0,1.38,41.4
1,1,0,1,0,2.58,60.2
1,0,0,1,0,0.42,35.7
1,1,0,1,0,4.04,33.0
1,0,0,1,0,4.00,56.6
1,0,0,1,0,0.32,33.6
1,0,0,1,0,0.15,46.8
0,0,1,1,0,3.00,41.6
0,1,1,1,0,2.60,42.8
0,0,1,1,0,4.25,52.4
0,0,1,1,0,5.71,57.6
0,0,1,1,0,1.99,49.5
0,0,1,1,0,0.28,62.6
0,1,1,1,0,1.36,31.2
0,0,1,1,0,1.84,51.9
0,1,1,1,0,1.86,28.1
0,1,1,1,0,0.80,40.9
0,0,1,1,0,1.24,49.6
0,0,1,1,0,3.75,30.3
0,1,1,1,0,0.21,44.7
0,0,1,1,0,9.08,35.8
0,1,1,1,0,1.15,56.4
0,0,1,1,0,1.72,46.0
0,0,1,1,0,1.86,36.0
0,0,1,1,0,3.25,48.9
0,0,1,1,0,0.74,54.0
0,0,1,1,0,1.72,57.8
0,0,1,1,0,0.42,53.2
0,1,1,1,0,0.42,43.1
